transaction_id,transaction_date,transaction_time,account_id,account_name,account_type,account_owner,description,category,subcategory,amount,transaction_type,balance_after,is_recurring,recurring_frequency,notes
TXN-B90A62CA7F7F,2024-01-01,09:46:59,ACC-JOINT-CHK,Joint Checking,Checking,Joint,HOA Monthly Dues,Housing,HOA Fees,-150,Expense,214881.9,True,Monthly,
TXN-50DB3CC74FBD,2024-01-01,13:26:29,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Health Insurance - Blue Cross,Healthcare,Insurance Premium,-320,Expense,213606.9,True,Monthly,
TXN-3D01E0AD6349,2024-01-01,14:13:34,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Mortgage Payment - Wells Fargo,Housing,Mortgage/Rent,-2200,Expense,215031.9,True,Monthly,
TXN-9E5566631A6E,2024-01-01,15:59:27,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Rite Aid,Healthcare,Pharmacy,-26.87,Expense,146874.55,False,,
TXN-EC36FA4DD04D,2024-01-01,17:47:35,ACC-USER1-CHK,User1 Checking,Checking,User1,Gym Membership,Subscriptions,Various,-45,Expense,-4603.56,True,Monthly,
TXN-066984FECCE1,2024-01-02,09:01:29,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Transfer to Joint Savings,Transfer,Monthly Savings Goal,-500,Transfer,145628.62,True,Monthly,
TXN-D5F99DDC38F1,2024-01-02,14:16:42,ACC-USER2-CHK,User2 Checking,Checking,User2,Subway,Dining,Fast Food,-14.47,Expense,1729.23,False,,
TXN-67608A2B9AA3,2024-01-02,18:21:02,ACC-JOINT-SAV,Joint Savings,Savings,Joint,Transfer from Joint Checking,Transfer,Monthly Savings Goal,500,Transfer,25500.0,True,Monthly,
TXN-455E256F048B,2024-01-03,13:09:15,ACC-USER2-CHK,User2 Checking,Checking,User2,Starbucks,Dining,Fast Food,-16.48,Expense,1743.7,False,,
TXN-C061086B9B8B,2024-01-04,16:13:29,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Costco,Groceries,Warehouse,-266.11,Expense,164528.59,False,,
TXN-713BECC47AA2,2024-01-05,09:11:05,ACC-USER1-CHK,User1 Checking,Checking,User1,Taco Bell,Dining,Fast Food,-13.21,Expense,2127.69,False,,
TXN-433087B4F7E0,2024-01-05,11:50:43,ACC-USER2-SAV,User2 Savings,Savings,User2,Transfer from User2 Checking,Transfer,Automatic Savings,150,Transfer,8650.0,True,Monthly,
TXN-33A43F3C6751,2024-01-05,12:52:28,ACC-USER1-CHK,User1 Checking,Checking,User1,NYT Digital Subscription,Subscriptions,Various,-17,Expense,-4555.57,True,Monthly,
TXN-24CFBCB5C157,2024-01-05,14:58:37,ACC-USER1-CHK,User1 Checking,Checking,User1,Taco Bell,Dining,Fast Food,-12.56,Expense,2115.13,False,,
TXN-9FF743887767,2024-01-05,16:02:44,ACC-USER1-CHK,User1 Checking,Checking,User1,Transfer to User1 Savings,Transfer,Automatic Savings,-200,Transfer,-4746.68,True,Monthly,
TXN-2A2DBACB5BBA,2024-01-05,18:17:15,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Payroll Deposit - ACME Corp,Salary,User1,4227.89,Income,12727.89,True,Biweekly,
TXN-CF47B1C7AD49,2024-01-05,20:04:22,ACC-USER1-SAV,User1 Savings,Savings,User1,Transfer from User1 Checking,Transfer,Automatic Savings,200,Transfer,12200.0,True,Monthly,
TXN-42C4C4DD167F,2024-01-05,21:32:06,ACC-USER2-CHK,User2 Checking,Checking,User2,Transfer to User2 Savings,Transfer,Automatic Savings,-150,Transfer,-5558.02,True,Monthly,
TXN-C475FB804CC6,2024-01-05,21:36:36,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Homeowners Insurance - State Farm,Housing,Home Insurance,-125,Expense,214756.9,True,Monthly,
TXN-AF5B093F5E70,2024-01-06,07:39:09,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Kroger,Groceries,Supermarket,-224.08,Expense,164794.7,False,,
